NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
Mantrans B.V.;BV;Dashorsterweg 2;3927 CN;RENSWOUDE;;EUR;01-01-18;19;;
V.o.f. Firma Kortlever Transport;VOF;Damseweg 22;2974 VB;BRANDWIJK;;EUR;01-01-18;2;;
C.V. Tweede Inter Limburg;Commanditaire vennootschap met 1 beh. vennoot;Vuurdoornstraat 25;6101 MB;ECHT;;EUR;01-01-18;1;;
SITA Recycling Services Zuid B.V.;BV;Roelofshoeveweg 41;6921 RH;DUIVEN;;EUR;01-01-18;175;;
Transportbedrijf van Nielen V.o.f.;VOF;Heemraadweg 9;2741 NC;WADDINXVEEN;;EUR;21-02-17;2;;
Lievaart Trucks B.V.;BV;Distributiestraat 41;4283 JN;GIESSEN;;EUR;01-01-18;7;;
L.G.A. Doeschate, h.o.n. Fa. Doeschate;Eenmanszaak;De Greune 10;7483 PH;HAAKSBERGEN;;EUR;01-01-18;1;;
Vice Versa Transporten B.V.;BV;IJsselstraat 3;5347 KG;OSS;;EUR;01-01-18;59;;
P. Binnendijk, h.o.n. Internationaal Transportbedrijf Piet Binnendijk;Eenmanszaak;Zwaluw 18;2411 ME;BODEGRAVEN;;EUR;01-01-18;3;;
Jocotrans B.V.;BV;Spanjeweg 16;2411 PX;BODEGRAVEN;;EUR;10-01-16;16;;
W. van Dam, h.o.n. W. van Dam Transport;Eenmanszaak;Buizerd 9;9628 ES;SIDDEBUREN;;EUR;01-01-18;1;;
J.Th.J.M. van Dinteren B.V.;BV;Grotestraat 53;6653 BK;DEEST;;EUR;01-01-18;8;;
Transportbedrijf Noord-Friesland B.V.;BV;TrijnwÉldsterdijk 2 A;9061 DB;GIEKERK;;EUR;01-01-18;7;;
J. Doornbos. h.o.n. Transportbedrijf J. Doornbos;Eenmanszaak;Tuinstraat 1;9891 AP;EZINGE;;NAT;;2;;
V.o.f. Fa. G. van der Linden en Zoon;VOF;Bossche Dreef 9;4041 AZ;KESTEREN;;EUR;01-01-18;9;;
Urselmann Transport Bergen V.o.f.;VOF;Rijksweg 45  A;5854 AS;BERGEN;;EUR;01-01-18;4;;
E.A.W. van Vliet, h.o.n. E. van Vliet Transport;Eenmanszaak;Doctor van Noortstraat 62;2266 GZ;LEIDSCHENDAM;;EUR;23-02-20;1;;
Boere Transport B.V.;BV;Ampereweg 1;3225 LP;HELLEVOETSLUIS;;EUR;01-01-18;34;;
J.P. Westdijk, h.o.n. J.P. Westdijk Transport;Eenmanszaak;Boomdijk 29  B;3286 LD;KLAASWAAL;;EUR;03-02-18;1;;
V.o.f. L. de Man Transport;VOF;Jasmijnstraat 19;3295 RJ;'s-GRAVENDEEL;;EUR;01-01-18;1;;
Kraftverkehr Nagel GmbH & Co. KG, h.o.n. Nagel Nederland;Nevenvestiging met vestiging buiten Nederland;Kaagstraat 2;8102 GZ;RAALTE;;EUR;01-01-18;31;;
H.A. de Vries, h.o.n. De Vries Intern. Transportbedrijf ;Eenmanszaak;Oosterdiep OZ 7;7881 CS;EMMER COMPASCUUM;;EUR;01-01-18;3;;
V.o.f. L. Ockhuizen en Zoon;VOF;Hoogeind 32;3465 HC;DRIEBRUGGEN;;EUR;01-01-18;3;;
R. van Leeuwen, h.o.n. Rob van Leeuwen Transport;Eenmanszaak;Herenweg 20;2751 DA;MOERKAPELLE;;EUR;01-01-18;1;;
H. Hordijk, h.o.n. Transportbedrijf H. Hordijk;Eenmanszaak;Oude Singel 1;3211 BA;GEERVLIET;;EUR;01-01-18;1;;
L. Terpstra, h.o.n. Tetrans Int. Transportbedrijf;Eenmanszaak;Pastoor J. van Hovestraat 48;4153 XV;BEESD;;EUR;01-01-18;1;;
Schouten Transport Gennep B.V.;BV;De Grens 39;6598 DK;HEIJEN;;EUR;01-01-18;10;;
W.A.M. Hoefeijzers, h.o.n. W. Hoefeijzers;Eenmanszaak;Eisenhowersingel 48;4587 EW;KLOOSTERZANDE;;EUR;01-01-18;2;;
Bouwens Transport V.o.f.;VOF;S. Abrahamsestraat 81;4194 RD;METEREN;;EUR;01-01-18;1;;
J.G.H. van Roomen, h.o.n. Van Roomen Transport;Eenmanszaak;Oude Barnevelderweg 8;3886 PT;GARDEREN;;EUR;01-01-18;1;;
Van Meeteren Internationaal Transport B.V.;BV;Dorpsweg 43;4122 GE;ZIJDERVELD;;EUR;01-01-18;5;;
Baarslag Transporten Gramsbergen V.o.f.;VOF;De Vaart 25;7784 DK;ANE;;EUR;01-01-18;4;;
Takel- Bergings- en Transportbedrijf Van Cruchten B.V.;BV;Elmpterweg 45;6042 KJ;ROERMOND;;EUR;01-01-18;6;;
B.G.T. Transport- en Expeditiebedrijf B.V.;BV;Sluisjesdijk 127;3087 AE;ROTTERDAM;;EUR;01-01-18;3;;
Verweij Lopik B.V.;BV;Bedrijfsweg 9;3411 NV;LOPIK;;EUR;01-01-18;25;;
Limburgse Verhuis Centrale B.V.;BV;Rontgenweg 10;6101 XD;ECHT;;EUR;14-05-18;2;;
A.M.J. Govers, h.o.n. Govers Transport;Eenmanszaak;Heesterseweg 35;5386 KT;GEFFEN;;EUR;01-01-18;1;;
Hamstra Internationaal Bergingsbedrijf B.V.;BV;Handelsweg 29-31;9482 WG;TYNAARLO;;EUR;01-01-18;4;;
Kube & Kubenz Nederland Internationale Expeditie en Transportmij. B.V.;BV;Toermalijnring  220;3316 LC;DORDRECHT;;EUR;01-01-18;4;;
V.o.f. Gijs Vos Transport;VOF;Molenaarstraat 27;5374 GX;SCHAIJK;;EUR;01-01-18;1;;
P.J. Timmerman, h.o.n. Peter Timmerman Transport;Eenmanszaak;De Wouden 161;9405 HG;ASSEN;;EUR;01-01-18;1;;
Kamps Transport B.V.;BV;Boezemweg 4;2641 KH;PIJNACKER;;EUR;01-01-18;43;;
V.o.f. Ph. Wierenga & Zn.;VOF;Havenstraat 10;9964 AN;WEHE-DEN HOORN;;EUR;01-01-18;3;;
D.V.K. Transport B.V.;BV;De Hondert Margen 11;2678 AC;DE LIER;;EUR;01-01-18;12;;
Huisma & Zn. Verspreidingen B.V.;BV;Buitendijks 37;3356 LX;PAPENDRECHT;;EUR;16-03-20;4;;
C. Groenendijk en Zn. B.V.;BV;Vlietweg 4-6;4791 EZ;KLUNDERT;;EUR;01-01-18;5;;
V.o.f. Fouragehandel A. Brouwer en Zonen;VOF;Den Oosterhuis 27;7707 PD;BALKBRUG;;EUR;01-01-18;3;;
Ewals Steijl B.V.;BV;Waterloostraat 25;5935 BE;STEIJL;;EUR;01-01-18;7;;
Jassies Transport B.V.;BV;Leusinkweg 15;7582 CM;LOSSER;;EUR;01-01-18;21;;
Riwo Transport B.V.;BV;Vijzelweg 6;5145 NK;WAALWIJK;;EUR;01-01-18;60;;
J.P. Kusters, h.o.n. J.P. Kusters Int. Transportbedrijf;Eenmanszaak;Ganzenhof 26;4061 BN;OPHEMERT;;EUR;01-01-18;1;;
Tiru Transport B.V.;BV;Cacaoweg 3;1047 BE;AMSTERDAM;;EUR;01-01-18;7;;
H. Schreuders;Eenmanszaak;Tubantenweg  12;5349 BD;OSS;;EUR;01-01-18;2;;
V.o.f. Verploegen Internationaal Transport;VOF;Molenstraat 20;6645 BT;WINSSEN;;EUR;07-04-18;1;;
V.o.f. Fa. Oerlemans & Zn.;VOF;Doelstraat 4;4631 RH;HOOGERHEIDE;;EUR;01-05-17;11;;
V.o.f. Crit Beulen;VOF;Hoogstraat 5;6102 XR;ECHT;;EUR;01-01-18;3;;
A.W. Brinkhof, h.o.n. Brinkhof Transport;Eenmanszaak;Kortrijkpolder 10;3453 NA;DE MEERN;;EUR;01-01-18;1;;
Transportbedrijf G. van der Heijden & Zonen B.V.;BV;Scheepmakerstraat 17;2984 BE;RIDDERKERK;;EUR;01-01-18;43;;
R. Groenewold en Zoon B.V.;BV;1e Exloermond 87;9573 PE;EERSTE EXLOERMOND;;EUR;01-01-18;15;;
Transportbedrijf Van Ziel B.V.;BV;Zoelensestraat 19;4013 CP;KAPEL-AVEZAATH;;EUR;01-01-18;15;;
Kaan Transport B.V.;BV;Rozenlaantje 4;1777 HR;HIPPOLYTUSHOEF;;EUR;01-01-18;12;;
Gebroeders J. en W. Kuppens B.V.;BV;Meemortel 59;6021 AD;BUDEL;;EUR;01-01-18;13;;
Internationaal Takel- en Speciaal Transportbedrijf Van Kemenade B.V., h.o.n. DNS Internati;BV;De Run 4408;5503 LR;VELDHOVEN;;EUR;12-03-19;2;;
van Waveren Transport B.V.;BV;Sloterweg 1081;1066 CE;AMSTERDAM;;EUR;01-01-18;57;;
CollÇ Internationale Transporten en Expeditie B.V.;BV;Handelsstraat 23;6135 KK;SITTARD;;EUR;01-01-18;6;;
J.Th.M. Steijvers, h.o.n. J. Steijvers Internationaal Transportbedrijf;Eenmanszaak;Paul Guillaumestraat 16  B;5931 CK;TEGELEN;;EUR;01-01-18;1;;
Tielbeke Transport B.V.;BV;Handelsweg 17;8152 BN;LEMELERVELD;;EUR;01-01-18;189;;
Linne Transport B.V.;BV;Bergerweg 2;6067 NE;LINNE;;EUR;01-01-18;5;;
Ooms Transport B.V.;BV;Scharwoude 9;1634 EA;SCHARWOUDE;;EUR;16-11-19;16;;
Fasol Transport V.o.f.;VOF;Stoofweg 14;4325 BB;RENESSE;;EUR;01-01-18;1;;
V.o.f. C.N. IJzerman en Zn., h.o.n. IJzerman Internationaal Transport;VOF;Verbreepark 10;2731 BR;BENTHUIZEN;;EUR;01-01-18;7;;
H.A. van Boxtel en Zonen B.V.;BV;Meerstraat 42;5473 VX;HEESWIJK-DINTHER;;EUR;01-01-18;20;;
W.J. Bleijs, h.o.n. Transagro Holland;Eenmanszaak;Rijnweg 133;2681 SG;MONSTER;;EUR;06-01-18;1;;
Cor Segers B.V.;BV;Leeuwerikweg 18;5425 RW;DE MORTEL;;EUR;01-01-18;8;;
Fouragehandel J.W. Essink B.V.;BV;Zanddijk 1;7025 DG;HALLE;;EUR;07-03-18;3;;
C.J. Hopman, h.o.n. C.J. Hopman Transport;Eenmanszaak;Handelsweg 16;1751 HE;SCHAGERBRUG;;EUR;01-01-18;1;;
Eurobraam B.V.;BV;Nieuweweg 216;6603 BV;WIJCHEN;;EUR;01-01-18;10;;
Bremer's Handel en Transport B.V.;BV;Lijkele Boonstraweg 3;9851 AW;BURUM;;EUR;01-01-18;11;;
L.A.M. Verhoeven, h.o.n. Transportbedrijf L. Verhoeven;Eenmanszaak;De Vlonder 23;5427 DB;BOEKEL;;EUR;01-01-18;1;;
Beeke Transport B.V.;BV;Prinses Beatrixstraat 53;4507 AJ;SCHOONDIJKE;;EUR;01-01-18;6;;
V.o.f. De Visser Transport;VOF;Dorpsstraat 157;4451 KD;HEINKENSZAND;;EUR;01-01-18;1;;
Mussche Transport Service V.o.f.;VOF;Schapendijk 9;7715 PV;PUNTHORST;;EUR;01-01-18;6;;
C. Ooms Transport V.o.f.;VOF;Houtzaagmolen 23;2935 AX;OUDERKERK A/D IJSSEL;;EUR;01-01-18;1;;
V.o.f. Firma Veveha;VOF;Zwijnsbergen 3;5491 PL;SINT OEDENRODE;;EUR;01-01-18;1;;
Dalhuisen Transport B.V.;BV;Paasvuurweg 9 - 16;8161 CA;EPE;;EUR;20-12-15;7;;
Dekkers Transport Holland B.V.;BV;Bosscheweg 77;5056 KB;BERKEL-ENSCHOT;;EUR;01-01-18;19;;
Van Caem's Transporten B.V.;BV;Spuiweg 16;5145 NE;WAALWIJK;;EUR;01-01-18;45;;
J.G.M. van Overveld, h.o.n. J. van Overveld Trucking;Eenmanszaak;Nieuwlandseweg 68;4697 RK;SINT_ANNALAND;;EUR;01-01-18;1;;
Transportonderneming J.H. van den Berg B.V.;BV;Marconiweg 19;2627 BA;DELFT;;EUR;01-01-18;50;;
V.o.f. A.P.C. Koopman Transport;VOF;Havenweg 1;1771 RW;WIERINGERWERF;;EUR;01-01-18;1;;
E.J.L.M. Ringelink, h.o.n. Transportbedrijf E. Ringelink;Eenmanszaak;Europalaan 14;4645 HS;PUTTE;;EUR;01-01-18;1;;
J.W.B. van Zuijlen, h.o.n. J.W. B. V. Zuijlen;Eenmanszaak;Blatenplak 2;6644 CJ;EWIJK;;EUR;14-02-16;1;;
A. Toonen Handel en Transport B.V.;BV;Helstraat 19;5375 KG;REEK;;EUR;18-06-17;;5;
Rompen Transport B.V.;BV;Mercuriusstraat 1;6468 ES;KERKRADE;;EUR;01-01-18;;14;
V.o.f. Transportbedrijf J. Peters;VOF;Oude Nonnendaalseweg 64;6542 WV;NIJMEGEN;;EUR;01-01-18;;2;
Crok Transport B.V.;BV;Het Welvaren 28;1551 AV;WESTZAAN;;NAT;;;13;
Vredeveld Twente B.V.;BV;Industriestraat 11;7622 AV;BORNE;;EUR;01-01-18;;47;
P.G.H. van Uden, h.o.n. Pieter van Uden Intern. Transport Boekel;Eenmanszaak;Wilhelminastraat 12;5427 CD;BOEKEL;;EUR;01-01-18;;2;
Thielen Transport B.V.;BV;Hultenseweg 79;5032 PH;TILBURG;;EUR;01-01-18;;4;
P. de Vries, h.o.n. Bareld de Vries Transport;Eenmanszaak;Gytsjerksterhoeke 26;9061 AW;GYTSJERK;;EUR;01-01-18;;1;
V.o.f. Firma A. van den Heuvel en Zonen;VOF;Abeelhof 8;4254 BX;SLEEUWIJK;;EUR;01-01-18;;1;
Gemotra B.V.;BV;Rijnsburgerweg 59  A;2341 AA;OEGSTGEEST;;EUR;01-01-18;;5;
Gefco Benelux S.A.;Buitenlandse EG-vennootschap met hfdnederz in NL;Karolusstraat 5;4903 RJ;OOSTERHOUT;;EUR;01-01-18;;36;
Gubbels Recycling en Transport B.V.;BV;Nieuwkuikseweg 2;5268 LE;HELVOIRT;;EUR;01-01-18;;6;
Paraat Hengelo B.V.;BV;Binnenhavenstraat 56;7553 GJ;HENGELO;;EUR;01-01-18;;14;
F.H. Reurings, h.o.n. Franstrans;Eenmanszaak;Heemraadsingel 10;3641 JH;MIJDRECHT;;EUR;01-01-18;;1;
De Zevenster, Firma Kuipers V.o.f.;VOF;De Gast 82;9801 AH;ZUIDHORN;;EUR;01-01-18;;2;
Transportbedrijf J.G. Bontje B.V.;BV;Nedereindseweg 149;3438 AC;NIEUWEGEIN;;EUR;01-01-18;;1;
A.J. van der Wegen, h.o.n. van der Wegen Transport;Eenmanszaak;Leerlooierij 8;4651 SM;STEENBERGEN;;EUR;01-01-18;;1;
Van de Lagemaat Transport B.V.;BV;Tienhovenseweg 9;4121 KS;EVERDINGEN;;EUR;01-01-18;;9;
V.o.f. G.A. van den Hater, h.o.n. Hatro;VOF;Bonegraafseweg 5;4051 CG;OCHTEN;;EUR;01-01-18;;14;
Deij Transport B.V.;BV;Kortgerecht 28;4145 NL;SCHOONREWOERD;;EUR;01-01-18;;18;
H. Verhoef B.V.;BV;Kerkweg 6;3774 BR;KOOTWIJKERBROEK;;EUR;19-12-17;;12;
Internationaal Transportbedrijf Lageweide B.V.;BV;Gageldijk 11;3602 AG;MAARSSEN;;EUR;01-01-18;;5;
E.A. van Puffelen, h.o.n. Van Puffelen Transport;Eenmanszaak;Dr. Nuijensstraat 30;1617 KC;WESTWOUD;;EUR;01-01-18;;1;
Nippon Express Euro Cargo B.V.;BV;Cessnalaan 24;1119 NL;SCHIPHOL-RIJK;;EUR;01-01-18;;29;
Verbruggen Volkel B.V.;BV;Vliegeniersstraat 28;5405 BH;UDEN;;EUR;01-01-18;;4;
Expeditie- en Transportbedrijf Dollevoet B.V.;BV;Grevelingenmeer 9 -15;5347 JP;OSS;;EUR;25-02-19;;38;
Baets B.V.;BV;Kelperweg 23;6037 RL;KELPEN-OLER;;EUR;01-01-18;;16;
Schouwstra Scandinavian Transports B.V.;BV;Abbewaal 8;1791 WZ;DEN BURG;;EUR;01-01-18;;5;
L.P. van der Meer, h.o.n. Fa. J. en L.P. van der Meer;Eenmanszaak;Vogelwikke 23;2435 WK;ZEVENHOVEN;;EUR;01-01-18;;2;
C. de Ruiter en Zonen B.V.;BV;Westzijdeweg 69  A;2391 JE;HAZERSWOUDE-DORP;;EUR;31-01-18;;12;
J.J. Joosten, h.o.n. J. Joosten Transport;Eenmanszaak;Martin Luther Kinglaan 30;1945 EE;BEVERWIJK;;EUR;01-01-18;;2;
A.P.M. Diepstraten, h.o.n. A. Diepstraten;Eenmanszaak;Bergen 37;4844 EL;TERHEIJDEN;;EUR;01-01-18;;2;
Gebroeders Zijderveld B.V.;BV;Edisonweg 52;2952 AD;ALBLASSERDAM;;EUR;01-01-18;;6;
J.T.M. Verkley;Eenmanszaak;Lindelaan 13;8071 AV;NUNSPEET;;EUR;01-01-18;;1;
Pregon B.V.;BV;Carrouselweg 3 -5;3225 LN;HELLEVOETSLUIS;;EUR;01-01-18;;35;
Transportbedrijf Rijnland B.V.;BV;Veem 5;6909 DZ;BABBERICH;;EUR;01-01-18;;1;
Tiemex Transport B.V.;BV;Edisonstraat 58;6942 PZ;DIDAM;;EUR;01-01-18;;1;
L.M. van der Zande Beheer B.V., h.o.n. Transportbedrijf L.M. van der Zande;BV;Monsterseweg 14;2291 PB;WATERINGEN;;EUR;05-12-18;;2;
Van Brakel Transport B.V.;BV;Bunschotenweg 12;3089 KC;ROTTERDAM;;EUR;01-01-18;;6;
Beekman Transport Logistics B.V.;BV;Oude Berghuizerweg 20;7336 AW;APELDOORN;;EUR;01-01-18;;70;
Tjoelker Fouragehandel B.V.;BV;Diepswal 44;9351 TB;LEEK;;EUR;01-01-18;;8;
Horst Totaal Woningstoffeerders en Verhuizers V.o.f.;VOF;Ohmstraat 8;8013 PZ;ZWOLLE;;EUR;01-01-18;;3;
Internationaal Transportbedrijf G. Kuijf B.V.;BV;Maarssenbroeksedijk 57;3542 DM;UTRECHT;;EUR;01-01-18;;71;
V.o.f. W. Swijnenburg & zoon Transport;VOF;Brand 32;5411 PB;ZEELAND;;EUR;01-01-18;;2;
Grondhandel en Transportbedrijf J. Vernooy B.V.;BV;Trechtweg 1;3945 PL;COTHEN;;EUR;01-01-18;;4;
P. van Bergen Sneltransport V.o.f.;VOF;Groesweg 42;5993 NN;MAASBREE;;EUR;01-01-18;;2;
Brouwers Transport B.V.;BV;Het Zuiderkruis 11;5215 MV;'s-HERTOGENBOSCH;;EUR;01-01-18;;16;
V.o.f. Firma Van Aert;VOF;Spanjaardsdreef 2;4884 NA;WERNHOUT;;EUR;01-01-18;;6;
V.o.f. Huib v.d. Heuvel Int. Transportbedrijf;VOF;Binnen 34  B;4271 BX;DUSSEN;;EUR;01-01-18;;1;
P.H. Mosselveld, h.o.n. P. Mosselveld Transport;Eenmanszaak;Annie Romeinstraat 24;5142 MP;WAALWIJK;;EUR;01-01-18;;1;
Troost Transport Middelharnis B.V.;BV;Van der Waalsweg 17;3241 ME;MIDDELHARNIS;;EUR;01-01-18;;54;
Alb. Swijnenburg Transporten B.V.;BV;Polderweg 2;2975 LE;OTTOLAND;;EUR;23-04-18;;15;
S. Raeman;Eenmanszaak;Vlasstraat 10  A;4529 PX;EEDE;;EUR;02-06-18;;2;
Babtist Transport V.o.f.;VOF;Hereweg 283;9651 AH;MEEDEN;;EUR;18-04-18;;1;
G. Hanzen & Zn. Transport B.V.;BV;Nijverheidsweg 13;4311 RT;BRUINISSE;;EUR;01-01-18;;5;
C.H. Wesselius, h.o.n. Wesselius Transport;Eenmanszaak;Vlet 4;2377 BR;OUDE WETERING;;EUR;01-01-18;;1;
Panalpina (Beverwijk) B.V. voorheen Grampian International Freight B.V.;BV;Waterland 2;1948 RK;BEVERWIJK;;EUR;01-01-18;;7;
Gebr. van de Wege B.V.;BV;Drieschouwen Zuid 24;4571 RW;AXEL;;EUR;01-01-18;;19;
Transport Sanering Milieu (TSM) B.V., h.o.n. SITA EcoService;BV;Nieuwe Waterwegstraat 23;3115 HE;SCHIEDAM;;NAT;;;16;
S.D. Bruinsma, h.o.n. Bruinsma Promotie en Bemiddeling;Eenmanszaak;Langhuisterweg 43;9076 PL;SINT ANNAPAROCHIE;;EUR;01-01-18;;1;
M.J.M. de Wit Transport B.V.;BV;Geerling 4;1611 BT;BOVENKARSPEL;;EUR;26-01-19;;10;
Van Tilburg-Bastianen DAF B.V.;BV;Heilaar-Noordweg 1;4814 RR;BREDA;;EUR;09-11-15;;2;
Transportbedrijf A. v.d. Sluys V.o.f.;VOF;Florastraat 20;5715 AK;LIEROP;;EUR;01-01-18;;1;
Samat Nederland B.V.;BV;Nieuwe Bredase Baan 10;4825 BP;BREDA;;EUR;01-01-18;;13;
V.o.f. Kramp Transport Numansdorp;VOF;Gerard Numanstraat 8;3281 SH;NUMANSDORP;;EUR;01-01-18;;5;
Transportbedrijf Ruud Sneepels V.o.f.;VOF;Parallelweg  1 A;4191 NP;GELDERMALSEN;;EUR;01-01-18;;5;
W. Tabak, h.o.n. Wop Tabak Kleintransport;Eenmanszaak;Talmastraat 1;3601 XB;MAARSSEN;;EUR;09-01-19;;1;
Van der Linden Transport B.V.;BV;Koedood 27;2993 AL;BARENDRECHT;;EUR;01-01-18;;7;
Gebr. Vrijhoeven Handels- en Transportonderneming B.V.;BV;Van der Duinstraat 121;5161 BN;SPRANG-CAPELLE;;EUR;01-01-18;;6;
Riho B.V.;BV;Voorenswei 5;6669 MX;DODEWAARD;;EUR;01-01-18;;10;
A.A.C. Peeters, h.o.n. Peeters Transport;Eenmanszaak;Achtmaalseweg 147;4885 AW;ACHTMAAL;;EUR;01-01-18;;1;
V.o.f. P.C. Bakker en Zn.;VOF;Seringenplantsoen 145;2982 BJ;RIDDERKERK;;EUR;01-01-18;3;;
Frank de Ridder Transport B.V.;BV;Zeesluisweg 69 A;2583 DP;'s-GRAVENHAGE;;EUR;03-10-17;17;;
Verhaar Transport V.o.f.;VOF;Vlietskade 1015;4241 WE;ARKEL;;EUR;01-01-18;1;;
Van Nunen Transport en Logistiek Geldrop B.V.;BV;Spaarpot 7;5667 KV;GELDROP;;EUR;01-01-18;28;;
Veldwerk Koerier B.V.;BV;De Hondert Margen 16;2678 AC;DE LIER;;EUR;01-01-18;10;;
Manders V.o.f.;VOF;Bakelseweg 60;5752 PD;DEURNE;;EUR;01-01-18;3;;
V.o.f. W. Peters Transporten;VOF;Maaseikerweg 169;6005 AD;WEERT;;EUR;01-01-18;1;;
Simon Loos Benelux Transport B.V.;BV;Tender 2;1687 JB;WOGNUM;;EUR;01-01-18;160;;
W.D.J. Zaal, h.o.n. W.D.J. Zaal Transporten;Eenmanszaak;Peppengouw 73;1351 NE;ALMERE;;EUR;01-01-18;1;;
Verkeersschool Robijn V.o.f., h.o.n. Robijn Transport;VOF;Zoomweg 5;3221 LR;HELLEVOETSLUIS;;EUR;01-01-18;2;;
Roost Olie B.V.;BV;Venloseweg 1;6031 ST;NEDERWEERT;;EUR;01-01-18;9;;
C. en H. Euser Transport B.V.;BV;Ebweg 7;2991 LS;BARENDRECHT;;EUR;01-01-18;289;;
Transportbedrijf R.A. de Graaf B.V.;BV;Rodenrijseweg 251;2651 BR;BERKEL EN RODENRIJS;;EUR;01-01-18;13;;
DW autoverhuur B.V.;BV;Burgemeester van der Willigenstraat 15;2941 ES;LEKKERKERK;;EUR;01-01-18;3;;
Bogers Transport B.V.;BV;Hogebergdreef 62;4645 EX;PUTTE;;EUR;01-01-18;5;;
H. Kok, h.o.n. Transportbedrijf H. Kok;Eenmanszaak;Spoardyk 76;8711 CK;WORKUM;;EUR;01-01-18;1;;
V.o.f. J.S.T. -  Jo Schot Transport;VOF;Energieweg 11  u;4691 SE;THOLEN;;EUR;01-01-18;1;;
Ter Linden Transport B.V.;BV;Transportweg 2;7007 CN;DOETINCHEM;;EUR;01-01-18;25;;
V.o.f. H.T.C.;VOF;Kasernestrjitte 4;9151 HT;HOLWERD;;EUR;01-01-18;25;;
Delta Berging & Transport B.V.;BV;Fokko Kortlanglaan 192;3851 SJ;ERMELO;;EUR;01-01-18;7;;
B.V. Transportbedrijf H.A. Peters en Zn.;BV;Weteringseweg 15;6681 LM;BEMMEL;;EUR;01-01-18;25;;
H. Nab;Eenmanszaak;Ambachtsweg 10;7251 KW;VORDEN;;EUR;01-01-18;3;;
W.C.J. Raetsen, h.o.n. Raetsen Transport;Eenmanszaak;Kerkstraat 8;6092 NE;LEVEROIJ;;EUR;01-01-18;3;;
Loonbedrijf Kurstjens Grubbenvorst B.V.;BV;Horsterweg 66;5971 NG;GRUBBENVORST;;EUR;01-01-18;5;;
Vereijken Transporten en Verhuizingen B.V.;BV;Leemkuil 15;5626 EA;EINDHOVEN;;EUR;01-01-18;21;;
H.J.F. Willekes, h.o.n. Willekes' Transportbedrijf;Eenmanszaak;Steengroeveweg 6;7101 PH;WINTERSWIJK;;EUR;12-09-18;1;;
Internationaal Transportbedrijf B.B. Stolk B.V.;BV;Transportweg 20;2676 LL;MAASDIJK;;EUR;01-01-18;12;;
IJ.I. Zwanenburg, h.o.n. Transportbedrijf IJ.I. Zwanenburg;Eenmanszaak;Koterweg 34;3772 BC;BARNEVELD;;EUR;01-01-18;1;;
V.o.f. Fa. H. van Toorn en Zn.;VOF;Kniphoek 1  A;4024 BV;ECK EN WIEL;;EUR;01-01-18;18;;
J.W.F.M. Hendriks, h.o.n. Transportbedrijf Hendriks;Eenmanszaak;Cranendoncklaan 72;6021 JV;BUDEL;;EUR;14-03-16;3;;
V.o.f. A.A.M. Luyben, h.o.n. A.A.M. Luyben Transport;VOF;Kruisweg 1619;2142 LC;CRUQUIUS;;EUR;02-07-19;0;;
V.o.f. Fa. Berendsen-van Doornspeek;VOF;Parkstraat 23;4021 CA;MAURIK;;EUR;01-01-18;2;;
F.H.A.M. van de Vondervoort, h.o.n. Frans van de Vondervoort Int. Transport;Eenmanszaak;Jan Tooropstraat 4;5753 DK;DEURNE;;EUR;01-01-18;1;;
P.J. Gons, h.o.n. Piet Gons Transport;Eenmanszaak;Jan Kreeftweg 5;7913 VW;HOLLANDSCHEVELD;;EUR;01-01-18;10;;
V.o.f. Van Egten Intertrans;VOF;Smeestraat 16;7963 AK;RUINEN;;EUR;01-01-18;1;;
V.G.T. Van Groesen Transport V.o.f.;BV;Waterbies 16;4844 HJ;TERHEIJDEN;;EUR;20-10-18;9;;
Han Bussink V.o.f.;VOF;F. Daamenstraat 37;7071 AV;ULFT;;EUR;01-01-18;3;;
A. Zuidersma, h.o.n. Zuidersma Transport;Eenmanszaak;Optwizel 26;9286 ED;TWIJZEL;;EUR;01-01-18;1;;
V.o.f. Firma E. Rademaker en Zonen;VOF;Hondsdijk 42 A;2396 HK;KOUDEKERK A/D RIJN;;EUR;08-12-16;3;;
V.o.f. Gebr. Koot;VOF;Bostelweg 1;3059 LB;ROTTERDAM;;EUR;01-01-18;10;;
V.o.f. Transportbedrijf Dirk van Wieren;VOF;Foijingaweg 84;9293 LP;KOLLUMERPOMP;;EUR;01-01-18;2;;
Transportbedrijf P. Verboon De Lier B.V.;BV;Hoogweg 30;2678 KW;DE LIER;;EUR;01-01-18;23;;
Van der Ende Transport Westland B.V.;BV;Fultonstraat 9;2691 HA;'s-GRAVENZANDE;;EUR;27-04-19;21;;
Th. Grimme;Eenmanszaak;Oude Verlaat 5;9649 JG;MUNTENDAM;;NAT;;1;;
Weijts Transport V.o.f.;VOF;Berendonk 16;4942 CP;RAAMSDONKSVEER;;EUR;01-01-18;2;;
V.o.f. Huisman Trucking;VOF;Wipstrikkerallee 189;8025 AH;ZWOLLE;;EUR;01-01-18;1;;
V.o.f. Int. Transport H. Biemholt;VOF;Saffraan 25;7892 AH;KLAZIENAVEEN;;EUR;01-01-18;1;;
V.o.f. Streektrans;VOF;Oudijk 3;1617 KN;WESTWOUD;;EUR;01-01-18;6;;
