NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
J.H. Bruns, h.o.n. Transportbedrijf J.H. Bruns;Eenmanszaak;Mussel-A-Kanaal W.Z. 6;9584 TC;MUSSEL;J.H.  Bruns;EUR;14-04-19;1;;
Vermeire Transport B.V.;BV;Berlaersstraat 7;4576 AD;KOEWACHT;F.F.A.  Vermeire;EUR;01-01-18;7;;
H. Brolsma, h.o.n. Hans Brolsma;Eenmanszaak;Verlengde Stationsstraat 72;9271 CG;ZWAAGWESTEINDE;H.  Brolsma;EUR;26-03-17;2;;
Lau van Haren Logistics B.V.;BV;Metaalweg 15;6551 AC;WEURT;L.M.H.A. van Haren;EUR;01-01-18;2;;
V.o.f. Boersma;VOF;Lage Herenweg 2;9073 GB;MARRUM;J.  Boersma;EUR;09-02-20;2;;
Transportbedrijf Fa. Ugen B.V.;BV;Liesselseweg 120;5753 PP;DEURNE;R.A. van der Putten-Ugen;EUR;01-01-18;6;;
L. Bol, h.o.n. Bol Ten Boer;Eenmanszaak;Nijverheidsweg 3;9791 DA;TEN BOER;L.  Bol;NAT;;3;;
V.o.f. J. Ewals-Croonen;VOF;Stationsstraat 44;5935 RA;STEYL;J.H.J.  Ewals;EUR;12-04-19;2;;
J.A. Achterhof;Eenmanszaak;Hoofdweg 164;9626 AK;SCHILDWOLDE;J.A.  Achterhof;EUR;17-02-18;1;;
Exploitatiemaatschappij Meulenberg Urmond B.V.;BV;Paalweg 11;6129 EZ;URMOND;W.A.G.  Meulenberg;EUR;01-01-18;36;;
A. van der Beek, h.o.n. Transportbedrijf G. van der Beek;Eenmanszaak;Skrok 29;8918 LA;LEEUWARDEN;A. van der Beek;EUR;17-02-18;1;;
S. Banga, h.o.n. Banga Transport, Zand- en Grondhandel;Eenmanszaak;Triemsterloaene 5;9296 VA;TRIEMEN;S.  Banga;NAT;;1;;
Transportbedrijf en Handelsonderneming Bakker B.V.;BV;Overijsselsestraatweg 6  A;9008 TS;REDUZUM;W.F.  Janssen;EUR;10-10-17;7;;
A. Bakker, h.o.n. Bakker Transport;Eenmanszaak;Kollergang 10;6961 LZ;EERBEEK;A.  Bakker;EUR;08-03-20;3;;
V.o.f. Firma Andringa Transport;VOF;Buorren 64;9089 BL;WIJTGAARD;J.D.  Andringa;NAT;;1;;
P. Aalders;Eenmanszaak;Provincialeweg 14;9862 PE;SEBALDEBUREN;P.  Aalders;EUR;28-06-15;1;;
Transportbedrijf Aize Postmus V.o.f.;VOF;Knilles Wijtseswei 3;9262 NG;SUMAR;A.  Postmus;EUR;20-03-16;2;;
G. Aalderson en Zoon B.V.;BV;De Heersche 6;7547 RB;ENSCHEDE;P.  Aalderson;EUR;29-04-18;2;;
Albers Transport B.V.;BV;Leigraafseweg 1;6983 BR;DOESBURG;M.  Albers;EUR;05-10-19;31;;
Transportbedrijf W.H. Baars V.o.f.;VOF;Kerckhoveweg 16;6941 RH;DIDAM;L.T.G.  Baars-Polman;EUR;05-05-18;6;;
A.J. van Ballegooijen, h.o.n. Firma M.E. van Ballegooijen en Zonen;Eenmanszaak;Waaldijk 67;5327 AB;HURWENEN;H.H. van Ballegooyen-Van Gameren;EUR;25-10-15;1;;
